"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"SPICEPREFIX";"SUPPLIER";
"+9V";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"C1";"1u";"C-EU050-055X075";"C050-055X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C2";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C3";"100p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C4";"100p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C5";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"C";"";
"C6";"22n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C7";"10n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C8";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"C";"";
"C9";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C10";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C11";"2n2";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C12";"1n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C13";"2u2";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"14";"C";"";
"C14";"47u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"C";"";
"C15";"100p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C16";"1u";"C-EU050-055X075";"C050-055X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"C17";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"14";"C";"";
"C18";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"14";"C";"";
"D1";"1N5817";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";"";"";"";"";"";
"D2";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";"";
"D3";"1N4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";"";
"D4";"1N4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";"";
"D5";"1N4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";"";
